BBL,ADDRESS,BOROUGH,ZIP CODE,LIST
1000150022,21 WEST STREET,MANHATTAN,10004,RENT
1000160210,399 CHAMBERS STREET,MANHATTAN,10282,RENT
1000170029,90 WASHINGTON STREET ,MANHATTAN,10006,RENT
1000210006,71 BROADWAY,MANHATTAN,10006,RENT
1000270009,63 WALL STREET,MANHATTAN,10005,RENT
1000297501,48 BEAVER STREET,MANHATTAN,10004,RENT
1000310001,10 HANOVER SQUARE ,MANHATTAN,10005,RENT+INCOME
1000397501,164 PEARL STREET,MANHATTAN,10005,RENT
1000560004,90 WEST STREET,MANHATTAN,10006,RENT
1000650020,12 JOHN STREET,MANHATTAN,10038,RENT
1000697502,90 JOHN STREET,MANHATTAN,10038,RENT
1000710001,156 FRONT STREET,MANHATTAN,10038,RENT
1000760006,56 FULTON STREET,MANHATTAN,10038,RENT
1000767502,99 JOHN STREET,MANHATTAN,10038,RENT
1000770001,85 JOHN STREET,MANHATTAN,10038,RENT
1000890001,99 NASSAU STREET ,MANHATTAN,10038,RENT
1000920003,167 WILLIAM STREET,MANHATTAN,10038,RENT
1000977503,220 FRONT STREET,MANHATTAN,10038,RENT+INCOME
1001477509,137 DUANE STREET,MANHATTAN,10013,RENT
1001510001,105 DUANE STREET,MANHATTAN,10007,RENT+INCOME
1001720030,54 FRANKLIN STREET,MANHATTAN,10013,RENT
1001780016,217 WEST BROADWAY,MANHATTAN,10013,RENT
1001790032,176 WEST BROADWAY,MANHATTAN,10013,RENT
1001940032,60 LISPENARD STREET,MANHATTAN,10013,RENT
1002027501,50 BAYARD STREET,MANHATTAN,10013,RENT
1002180024,260 WEST STREET,MANHATTAN,10013,RENT
1002487501,225 CHERRY STREET,MANHATTAN,10002,RENT+INCOME
1003040035,75 CHRYSTIE STREET,MANHATTAN,10002,RENT
1003430050,203 RIVINGTON STREET,MANHATTAN,10002,RENT
1003500026,19 CLINTON STREET,MANHATTAN,10002,RENT
1003507501,20 CLINTON STREET,MANHATTAN,10002,RENT
1003550054,255 EAST HOUSTON STREET,MANHATTAN,10002,RENT
1003870157,619 EAST 5 STREET ,MANHATTAN,10009,RENT
1003907502,342 EAST 8 STREET,MANHATTAN,10009,RENT+INCOME
1003977503,250 EAST HOUSTON STREET,MANHATTAN,10002,RENT
1003980008,160 EAST 3 STREET,MANHATTAN,10009,RENT
1003980035,24 AVENUE B,MANHATTAN,10009,RENT
1004000001,58 AVENUE A,MANHATTAN,10009,RENT
1004050017,518 EAST 12 STREET,MANHATTAN,10009,RENT
1004070047,527 EAST 13 STREET,MANHATTAN,10009,RENT
1004100034,86 DELANCEY STREET,MANHATTAN,10002,RENT
1004130043,261 BROOME STREET ,MANHATTAN,10002,RENT
1004277504,273 BOWERY,MANHATTAN,10002,RENT
1004310025,51 AVENUE A,MANHATTAN,10009,RENT
1004310031,43 AVENUE A,MANHATTAN,10009,RENT
1004360044,107 ST MARKS PLACE,MANHATTAN,10009,RENT
1004417503,421 EAST 13 STREET,MANHATTAN,10009,RENT
1004430020,67 EAST 2 STREET,MANHATTAN,10003,RENT
1004467502,99 EAST 4 STREET,MANHATTAN,10003,RENT
1004510006,156 2 AVENUE,MANHATTAN,10003,RENT
1004520002,162 2 AVENUE,MANHATTAN,10003,RENT
1004520006,170 2 AVENUE,MANHATTAN,10003,RENT
1004520054,205 EAST 10 STREET,MANHATTAN,10003,RENT
1004530011,304 EAST 12 STREET,MANHATTAN,10003,RENT
1004570029,31 2 AVENUE,MANHATTAN,10003,RENT
