BBL,Required to report automated water data from DEP? Y/N,Esmnt,Building Class ,Tax Class,Building Count,DOF Gross Square Footage,,,Zip Code,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Address
1000010010,NO,,Y4,4,86,"2,598,091",,,10004,,1 GOVERNORS ISLAND
1000020002,NO, ,H5,4,1,"157,426",,,10004,,10 SOUTH STREET
1000020001,NO,,Y7,4,1,"280,000",,,10004,,4 SOUTH STREET
1000020023,YES,,T2,4,1,"24,346",,,10004,,1 PIER 6
1000030001,NO,,Q1,4,6,"945,425",,,10004,,10 BATTERY PARK
1000047501,YES, ,R0,2,1,"2,542,563",,,10038,,1 WATER STREET
1000057501,YES, ,R0,2,1,"1,354,691",,,10004,,125 BROAD STREET
1000080039,YES, ,H3,4,1,"46,724",,,10004,,32 PEARL STREET
1000080051,YES, ,H2,4,1,"102,407",,,10004,,6 WATER STREET
1000087501,YES, ,R0,2,1,"169,061",,,10004,,2 WATER STREET
1000090001,NO, ,O4,4,1,"692,431",,,10004,,34 WHITEHALL STREET
1000090014,NO, ,O4,4,1,"544,015",,,10004,,17 STATE STREET
1000090029,YES, ,O4,4,1,"896,956",,,10004,,24 STATE STREET
1000100001,YES, ,K2,4,1,"26,013",,,10004,,100 BROAD STREET
1000100014,YES, ,O4,4,1,"365,792",,,10004,,33 WHITEHALL STREET
1000100016,YES, ,O4,4,1,"336,025",,,10004,,90 BROAD STREET
1000100023,YES, ,O4,4,1,"321,994",,,10004,,1 WHITEHALL STREET
1000100033,NO, ,H2,4,1,"143,731",,,10004,,8 STONE STREET
1000110014,NO, ,D4,2,1,"51,387",,,10004,,26 BEAVER STREET
1000110021,YES, ,O4,4,1,"361,710",,,10004,,80 BROAD STREET
1000110029,YES, ,H2,4,1,"59,410",,,10004,,11 STONE STREET
1000130001,YES, ,O6,4,1,"206,480",,,10004,,1 BROADWAY
1000130005,NO, ,O4,4,1,"434,220",,,10004,,11 BROADWAY
1000150022,NO, ,D8,2,1,"335,746",,,10004,,21 WEST STREET
1000157501,NO, ,R0,2,2,"1,402,831",,,10004,,17 BATTERY PLACE
1000157502,YES, ,R0,2,1,"259,076",,,10004,,20 WEST STREET
1000160015,YES, ,D8,2,1,"239,165",,,10280,,50 BATTERY PLACE
1000160020,YES, ,D8,2,1,"230,765",,,10280,,70 BATTERY PLACE
1000160100,YES, ,D6,2,6,"1,881,621",,,10280,,345 SOUTH END AVENUE
1000160120,NO, ,O4,4,1,"1,501,878",,,10281,,200 LIBERTY STREET
1000160125,NO, ,O4,4,2,"2,267,925",,,10280,,225 LIBERTY STREET
1000160140,YES, ,O4,4,1,"2,233,692",,,10281,,200 VESEY STREET
1000160150,YES, ,O4,4,1,"2,084,079",,,10281,,250 VESEY STREET
1000160185,YES, ,D8,2,1,"283,905",,,10282,,211 NORTH END AVENUE
1000160195,YES, ,D8,2,1,"356,483",,,10282,,325 NORTH END AVENUE
1000160205,YES, ,D8,2,1,"239,185",,,10282,,455 NORTH END AVENUE
1000160210,YES, ,D8,2,1,"357,000",,,10282,,399 CHAMBERS STREET
1000160221,YES, ,D8,2,1,"244,617",,,10282,,450 NORTH END AVENUE
1000160225,YES, ,O6,4,1,"502,000",,,10281,,1 NORTH END AVENUE
1000160260,YES, ,O4,4,1,"2,157,862",,,10282,,200 WEST STREET
1000167501,YES, ,R0,2,1,"220,821",,,10280,,377 RECTOR PLACE
1000167502,YES, ,R0,2,1,"150,855",,,10280,,320 ALBANY STREET
1000167504,YES, ,R0,2,1,"91,774",,,10280,,300 ALBANY STREET
1000167505,YES, ,R0,2,1,"257,092",,,10280,,380 RECTOR PLACE
1000167503,YES, ,R0,2,1,"106,052",,,10280,,250 SOUTH END AVENUE
1000167506,YES, ,R0,2,1,"106,631",,,10280,,280 RECTOR PLACE
