BBL ,Boro,Block,Lot,Last Block Digit,E,BC,TC,Building Count,DOF Gross Square Footage ,Street Number ,Street Name ,Borough ,Zip Code,NYCHA ,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Full Address
1000020002,1,2,2,2, ,H5,4,1,"157,426",10,SOUTH ST.,Manhattan ,10004,,,10 SOUTH ST.
1000047501,1,4,7501,4, ,R0,2,1,"2,542,563",1,WATER STREET,Manhattan ,10004,,,1 WATER STREET
1000050010,1,5,10,5, ,O4,4,1,"1,016,406",115,BROAD ST.,Manhattan ,10004,,,115 BROAD ST.
1000057501,1,5,7501,5, ,R0,2,1,"1,354,691",125,BROAD ST.,Manhattan ,10004,,,125 BROAD ST.
1000080051,1,8,51,8, ,H2,4,1,"102,407",6,WATER ST.,Manhattan ,10004,,,6 WATER ST.
1000087501,1,8,7501,8, ,R0,2,1,"169,061",39,WHITEHALL ST.,Manhattan ,10004,,,39 WHITEHALL ST.
1000090001,1,9,1,9, ,O4,4,1,"692,431",34,WHITEHALL STREET,Manhattan ,10004,,,34 WHITEHALL STREET
1000090014,1,9,14,9, ,O4,4,1,"544,015",17,STATE ST.,Manhattan ,10004,,,17 STATE ST.
1000090029,1,9,29,9, ,O4,4,1,"896,956",24,STATE STREET,Manhattan ,10004,,,24 STATE STREET
1000100014,1,10,14,0, ,O4,4,1,"365,792",33,WHITEHALL ST.,Manhattan ,10004,,,33 WHITEHALL ST.
1000100016,1,10,16,0, ,O4,4,1,"336,025",90,BROAD ST.,Manhattan ,10004,,,90 BROAD ST.
1000100023,1,10,23,0, ,O4,4,1,"321,994",1,WHITEHALL ST.,Manhattan ,10004,,,1 WHITEHALL ST.
1000100033,1,10,33,0, ,H2,4,1,"143,731",8,STONE ST.,Manhattan ,10004,,,8 STONE ST.
1000110014,1,11,14,1, ,D4,2,1,"51,387",26,BEAVER ST.,Manhattan ,10004,,,26 BEAVER ST.
1000110021,1,11,21,1, ,O4,4,1,"361,710",80,BROAD ST.,Manhattan ,10004,,,80 BROAD ST.
1000110029,1,11,29,1, ,H2,4,1,"59,410",11,STONE ST.,Manhattan ,10004,,,11 STONE ST.
